bc,ac,tbv,tav,time,mp
7015673.96,228275297.24,739651.91,356581.19,1659553171367,24.02
6971744.85,228264992.71,737842.80,356156.67,1659553222683,24.03
6981643.49,228267877.51,738255.29,356276.67,1659553226019,24.03
7008156.75,228266247.86,739291.82,356206.62,1659553271994,24.02
7024582.27,228286023.07,739951.29,357016.17,1659553318039,24.05
7003806.46,228292126.76,739086.81,357269.11,1659553321033,24.05
7014516.55,228276727.04,739511.54,356599.02,1659553368690,24.07
7028282.12,228222981.29,740014.86,354322.63,1659553416731,24.08
7011457.11,228238660.76,739277.92,354954.15,1659553464777,24.09
7062541.31,228224371.94,741279.15,354299.35,1659553513237,24.08
7032249.10,228246210.55,740035.43,355205.25,1659553569238,24.06
6971752.88,228239356.27,737540.99,354946.95,1659553618623,24.04
7027069.81,228236449.63,739898.31,354829.12,1659553621196,24.04
7005374.00,228205842.26,738982.74,353617.69,1659553670853,24.05
7039279.59,228227279.84,740454.74,354507.29,1659553720953,24.03
6999415.50,228237422.84,738837.85,354929.09,1659553771834,24.04
6938173.72,228204769.42,736107.69,353578.95,1659553823164,24.02
7036320.24,228223336.30,740234.21,354450.24,1659553873773,24.02
6983888.06,228228421.80,737986.26,354662.97,1659553925341,24.03
7019466.33,228220579.77,739534.09,354350.46,1659553976697,24.02
6982179.50,228236479.39,737986.65,355018.83,1659554028675,24
7016402.24,228233796.88,739422.82,354906.44,1659554080675,24
6986801.96,228236931.28,738194.16,355049.50,1659554132829,23.99
7015820.93,228229572.66,739378.62,354726.75,1659554192902,24.03
7026419.50,228239037.76,739820.26,355120.34,1659554195747,24.03
6995830.64,228202490.63,738548.98,353596.01,1659554248547,24
6998736.73,228246201.22,738739.84,355455.46,1659554301920,23.98
6998906.34,228242349.42,738797.12,355296.48,1659554355822,23.98
6966536.96,228194148.50,737542.00,353283.25,1659554409698,24.01
6984525.37,228231005.53,738294.27,354809.94,1659554463810,24.01
6982209.44,228219242.08,738194.50,354293.04,1659554518602,24
6969279.27,228263897.53,737596.36,356181.42,1659554574175,24.01
6983815.62,228256941.75,738211.58,355899.73,1659554630414,23.99
6984001.55,228259761.17,738220.58,356017.21,1659554632484,23.99
6979831.98,228259098.64,738067.91,355983.11,1659554688988,23.99
6985331.90,228245385.53,738294.76,355426.98,1659554745131,24
6987698.88,228241244.96,738393.16,355254.50,1659554748146,24
6974808.68,228247987.08,737879.10,355523.15,1659554807138,24.01
6970667.25,228258967.11,737707.55,355980.48,1659554808598,24
6972564.52,228212059.38,737773.56,354034.17,1659554867010,24.02
6965880.04,228261350.30,737469.41,356083.23,1659554925051,24
6966814.35,228259212.02,737508.43,355994.27,1659554928603,24.01
6966275.59,228256287.88,737486.46,355872.99,1659554931432,24
6952147.29,228255588.86,736897.82,355845.04,1659554934378,23.99
6961147.42,228233128.86,737273.61,354912.00,1659554936993,23.99
6994513.60,228233098.24,738652.17,354914.51,1659554997615,23.99
7004155.82,228245842.18,739050.10,355441.01,1659555058689,24.01
7002581.26,228246198.11,738984.35,355456.01,1659555062467,24.01
6995703.33,228237896.14,738751.25,355125.80,1659555124231,24
6963298.12,228254814.26,737399.06,355818.63,1659555186682,24.01
6957172.44,228260125.22,737144.27,356042.04,1659555189770,24.01
6967808.35,228256816.11,737587.89,355903.86,1659555193218,24.01
6975818.92,228216069.72,737975.84,354214.29,1659555256642,24.02
6973072.28,228228817.01,737861.68,354745.31,1659555259572,24.01
6983787.74,228260115.17,738287.93,356031.26,1659555323963,24.01
6983797.46,228254348.26,738287.93,355791.17,1659555328430,24.01
7003807.28,228256597.33,739031.00,355813.21,1659555393968,24.04
6993895.60,228242927.11,738722.05,355312.39,1659555459731,23.96
6970517.62,228261226.05,737757.84,356100.14,1659555463319,23.96
6955955.63,228255161.34,737152.86,355849.60,1659555466160,23.95
6995190.60,228254435.57,738781.33,355846.11,1659555533320,23.98
7261271.00,228198109.77,750323.82,353542.02,1659555601062,23.98
7307786.35,228241904.86,751846.46,355331.29,1659555668971,24.02
7317555.76,228264491.72,752464.17,356122.65,1659555737855,24.06
7362162.12,228222722.33,754199.26,354390.37,1659555806530,24.07
7344945.28,228245369.09,753326.94,355287.90,1659555876553,24.1
7294207.80,228240297.59,750702.62,354992.09,1659555946713,24.06
7330988.74,228265914.38,752645.50,356039.82,1659555949674,24.05
7344325.87,228251462.30,753196.60,355438.71,1659555952666,24.07
7324016.21,228192276.28,751989.25,353013.33,1659556024648,24.07
7319194.43,228240556.44,752222.56,355023.26,1659556097076,24.05
7309231.47,228230966.64,751983.96,354706.31,1659556170593,24
7336663.78,228236041.66,753115.65,354892.16,1659556243982,24.03
7327142.14,228192922.84,752857.85,353184.37,1659556317835,24.01
7317836.61,228274884.76,752418.19,356507.80,1659556391494,24.03
7322889.73,228262170.78,752626.67,355977.72,1659556394688,24.04
7344362.10,228230408.73,753476.73,354673.15,1659556469966,24.06
7321870.88,228251297.04,752505.20,355484.33,1659556546144,24.01
7327312.67,228235057.54,752799.84,354884.33,1659556622537,24.01
7309244.07,228257495.23,752052.23,355821.69,1659556625625,24
7304673.61,228267409.04,751924.85,356296.50,1659556703139,24
7299253.24,228266178.13,751698.69,356245.06,1659556705853,24
7280117.29,228215092.71,750909.58,354129.98,1659556783927,24.02
7287081.73,228226788.08,751200.64,354616.36,1659556787110,24.02
7247650.40,228238725.23,749556.61,355122.28,1659556790570,24.01
7268251.12,228239434.21,750418.89,355141.08,1659556793308,24.01
7324312.85,228224497.69,752773.49,354513.43,1659556873789,24.02
7304128.48,228239205.32,751858.52,355090.80,1659556966400,24.03
7335013.70,228224855.92,753351.40,354523.85,1659557048394,24
7325730.15,228226292.93,752964.17,354630.27,1659557130826,23.99
